Facility Name,Facility Address 1,Facility Address 2,Facility City,Facility Zip
CALIFORNIA MENTAL HEALTH LLC,14865 MARIE CT,,SAN MARTIN,95046-9753
CALIFORNIA MENTAL HEALTH LLC,14210 LESLEY LN,,SAN MARTIN,95046-9606
DALLAS MENTAL HEALTH LLC,1262 COUNTY ROAD 278,,KAUFMAN,75142-4206
FIRST RESPONDERS OF CALIFORNIA LLC,2915 RED HILL AVE STE A210A,,COSTA MESA,92626-5995
HOUSTON MENTAL HEALTH LLC,27214 FM 1736 RD,,HEMPSTEAD,77445-9422
KENTUCKY WELLNESS CENTER LLC,2087 KINGS CHAPEL RD,,CADIZ,42211-9760
LONESTAR MENTAL HEALTH,2400 ALLISON RD,,MARTINDALE,78655-2550
LONESTAR MENTAL HEALTH,4131 N CENTRAL EXPY STE 359,,DALLAS,75204-2102
LONESTAR MENTAL HEALTH LLC,2400 ALLISON RD,,MARTINDALE,78655-2550
LOS ANGELES MENTAL HEALTH LLC,5310 BOTHWELL RD,,TARZANA,91356-2923
NASHVILLE MENTAL HEALTH LLC,1303 SE BROAD ST,,MURFREESBORO,37130-5652
NASHVILLE MENTAL HEALTH LLC,1040 NW RUTLAND RD,,MOUNT JULIET,37122-3366
PACIFIC COAST MENTAL HEALTH LLC,2798 WAXWING CIR,,COSTA MESA,92626-4850
TEEN MENTAL HEALTH TEXAS LLC,1464 E WHITESTONE BLVD STE 1304B,,CEDAR PARK,78613-9072
TELEHEALTH MH LLC,200 PROSPERITY DR OFC 245,,KNOXVILLE,37923-4718
TELEHEALTH MH LLC,1464 E WHITESTONE BLVD STE 1304 D,,CEDAR PARK,78613-9072
TENNESSEE BEHAVIORAL HEALTH LLC,1306 SE BROAD ST,,MURFREESBORO,37130-5615
TENNESSEE BEHAVIORAL HEALTH LLC,3343 PERIMETER HILL DR STE 214,,NASHVILLE,37211-4147
TENNESSEE BEHAVIORAL HEALTH LLC,1306 SE BROAD ST,,MURFREESBORO,37130-5615
TREAT MENTAL HEALTH CALIFORNIA LLC,1610 R ST STE 300,,SACRAMENTO,95811-6683
TREAT MENTAL HEALTH CALIFORNIA LLC,1261 LINCOLN AVE STE 218,,SAN JOSE,95125-3031
TREAT MENTAL HEALTH COLORADO LLC,3001 BRIGHTON BLVD,STE 2660,DENVER,80216-5238
TREAT MENTAL HEALTH NEVADA LLC,1913 N GREEN VALLEY PKWY STE B,,HENDERSON,89074-5877
TREAT MENTAL HEALTH TENNESSEE LLC,301 PLUS PARK BLVD STE 14,,NASHVILLE,37217-1036
TREAT MENTAL HEALTH TENNESSEE LLC,301 PLUS PARK BLVD STE 14,,NASHVILLE,37217-1036
TREAT MENTAL HEALTH TENNESSEE LLC,3343 PERIMETER HILL DR STE 214B,,NASHVILLE,37211-4147
TREAT MENTAL HEALTH TENNESSEE LLC,3343 PERIMETER HILL DR STE 214B,,NASHVILLE,37211-4147
TREAT MENTAL HEALTH TEXAS LLC,1464 E WHITESTONE BLVD STE 1304,,CEDAR PARK,78613-9072
TREAT MENTAL HEALTH WASHINGTON LLC,13555 SE 36TH ST STE 110,,BELLEVUE,98006-1400
WELLNESS RECOVERY CENTER LLC,12061 BROWNING AVE,,SANTA ANA,92705-3303
