Facility Name,Facility Address 1,Facility Address 2,Facility City,Facility Zip
405 RECOVERY,3400 IRVINE AVE STE 220,,NEWPORT BEACH,92660-3103
ADOLESCENT MENTAL HEALTH LLC,23172 PLAZA POINTE DR STE 155,,LAGUNA HILLS,92653-0101
BRICKFIRE LLC,1560 BROOKHOLLOW DR STE 106,,SANTA ANA,92705-5428
BRITE RECOVERY LLC,3400 IRVINE AVE STE 207,,NEWPORT BEACH,92660-3103
"CALIFORNIA TREATMENT COLLECTIVE, LLC.",3400 IRVINE AVE STE 118,,NEWPORT BEACH,92660-3102
COVENANT HILLS TREATMENT CENTERS,27184 ORTEGA HWY STE 206,,SAN JUAN CAPISTRANO,92675-5700
COVENANT HILLS TREATMENT CENTERS,34248 VIA SANTA ROSA,,CAPISTRANO BEACH,92624-1121
COVENANT HILLS TREATMETNT CENTERS,217 AVENIDA MONTEREY,,SAN CLEMENTE,92672-4114
CROWN VIEW CO-OCCURRING INSTITUTE,2892 JEFFERSON ST.,,CARLSBAD,92008-1719
CROWN VIEW PSYCHIATRIC INSTITUTE,1110 CAMINO DEL SOL CIR,,CARLSBAD,92008-3509
CROWNVIEW CO-OCCURING INSTITUTE,315 NORTH CLEMENTINE ST,,OCEANSIDE,92054-2806
"CROWNVIEW CO-OCCURING INSTITUTE, INC",315 N CLEMENTINE AVE,,OCEANSIDE,92054-2806
CROWNVIEW CO-OCCURRING INSTITUTE,315 NORTH CLEMENTINE ST,,OCEANSIDE,92054-2805
CROWNVIEW PSYCHIATRIC INSTITUTE,1114 VISTA WAY,,OCEANSIDE,92054-6451
HEALTHY LIFE RECOVERY INC.,"1010 TURQUOISE ST, STE 102",,SAN DIEGO,92109-2541
HEALTHY LIFE RECOVERY INC.,4320 TRIAS ST,,SAN DIEGO,92103-1127
"HILLSIDE HORIZON FOR TEENS, LLC",24195 JUANITA DR,,CANYON LAKE,92587-9294
INTO THE LIGHT LLC,101 E REDLANDS BLVD STE 170E,,REDLANDS,92373-4700
INTO THE LIGHT LLC,101 E REDLANDS BLVD STE 275,,REDLANDS,92373-4721
INTO THE LIGHT LLC,101 E REDLANDS BLVD STE 170E,,REDLANDS,92373-4700
"KIN WELLNESS, LLC",18800 MAIN ST STE 204,,HUNTINGTON BEACH,92648-1718
KNOX RECOVERY LLC,1217 W ALTON AVE,,SANTA ANA,92707-3871
KNOX RECOVERY LLC,17280 NEWHOPE ST STE 15,,FOUNTAIN VALLEY,92708-4227
MADISON RECOVERY CENTER,301 SOUTH LIVINGSTON ST STE 200,,MADISON,53703-5401
MAPSONG PC,1560 BROOKHOLLOW DR STE 104,,SANTA ANA,92705-5428
MENTAL HEALTH CENTER OF SAN DIEGO,6372 ROCKHURST DR,,SAN DIEGO,92120-3803
MENTAL HEALTH CENTER OF SAN DIEGO,2676 BURGENER BLVD,,SAN DIEGO,92110-1021
MENTAL HEALTH CENTER OF SAN DIEGO,2075 TORREY PINES RD,,LA JOLLA,92037-3357
MENTAL HEALTH CENTER OF SAN DIEGO,3825 BEN ST,,SAN DIEGO,92111-3524
MENTAL HEALTH CENTER OF SAN DIEGO,960 GRAND AVE,,SAN DIEGO,92109-4064
MENTAL HEALTH MODESTO LLC,1101 STANDIFORD AVE STE D4,,MODESTO,95350-0981
MENTAL HEALTH TREATMENT AND STABILIZATION CENTER OF SACRAMEN,4072 KNOBBY CREST WAY,,ROSEVILLE,95747-4543
MISSOURI TREATMENT SERVICES LLC,2942 E BATTLEFIELD RD,,SPRINGFIELD,65804-4016
MY TEEN MENTAL HEALTH LLC,1101 STANDIFORD AVE STE A1,,MODESTO,95350-0981
"MY TIME RECOVERY, LLC",1015 E INDIANAPOLIS AVE,,FRESNO,93704-3819
"MY TIME RECOVERY, LLC",1107 W RIALTO AVE,,FRESNO,93705-0918
"MY TIME RECOVERY, LLC",5236 N BRYN MAWR DR,,FRESNO,93711-2808
"MY TIME RECOVERY, LLC",83 E SHAW AVE STE 200-204,,FRESNO,93710-7620
"MY TIME RECOVERY, LLC",1107 W RIALTO AVE,,FRESNO,93705-0918
MY TIME RRECOVERY LLC,4040 S DEMAREE ST,,VISALIA,93277-9476
NEW ORIGINS,101 E REDLANDS BLVD,STE 200,REDLANDS,92373-4775
"NEXT FRONTIER RECOVERY, LLC",9003 QUIOCCASIN RD,,HENRICO,23229-5536
NORTHERN CALIFORNIA MENTAL HEALTH LLC,1701 LA PLAYA WAY,,SACRAMENTO,95864-1508
"OPUS HEALTH, LLC",2738 LORENZO,,COSTA MESA,92626-5531
ORANGE COUNTY MENTAL HEALTH LLC,3400 IRVINE AVE STE 110,,NEWPORT BEACH,92660-3102
POSTPARTUM MENTAL HEALTH LLC,129 W WILSON ST STE 200,,COSTA MESA,92627-1586
REVIVAL MENTAL HEALTH LLC,9879 HAMILTON AVE,,FOUNTAIN VALLEY,92708-5117
REVIVAL MENTAL HEALTH LLC,16252 MAGELLAN LN,,HUNTINGTON BEACH,92647-3525
RHR E COVINA OPERATOR LLC DBA RESTORED HOPE RECOVERY,11354 E COVINA ST,,MESA,85207-1713
SAGEBRUSH LLC DBA THE EDGE TREATMENT CENTER,550 N GOLDEN CIRCLE DR STE A,,SANTA ANA,92705-3977
SHINE MENTAL HEALTH,1781 E FIR AVE STE 102,,FRESNO,93720-3865
TEXAS BEHAVIORAL HEALTH SERVICES LLC,8103 BRODIE LN STE 1,,AUSTIN,78745-7475
"THRIVE MEDICAL SPECIALISTS, A PROFESSIONAL CORPORATION",322 N NEVADA ST.,,OCEANSIDE,92054-2865
TREADSTONE SERVICES PC,550 N GOLDEN CIRCLE DR STE A,,SANTA ANA,92705-3977
VISALIA RECOVERY CENTER,4040 S DEMAREE ST UNIT A,,VISALIA,93277-9476
VISALIA RECOVERY CENTER,3703 BRAE BURN DR,,BAKERSFIELD,93306-3605
VISALIA RECOVERY CENTER,211 E CALDWELL AVE,,VISALIA,93277-7605
